2023-12-19 00:12:22.508 INFO  --- [UserRealm.java:37][http-nio-8080-exec-6] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["join:list","systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-19 00:12:22.509 INFO  --- [UserRealm.java:38][http-nio-8080-exec-6] - 本用户权限为:[join:list, systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-19 00:12:28.342 INFO  --- [UserRealm.java:37][http-nio-8080-exec-8] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["join:list","systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-19 00:12:28.343 INFO  --- [UserRealm.java:38][http-nio-8080-exec-8] - 本用户权限为:[join:list, systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-19 00:20:01.043 INFO  --- [UserRealm.java:37][http-nio-8080-exec-7] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["join:list","systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-19 00:20:01.044 INFO  --- [UserRealm.java:38][http-nio-8080-exec-7] - 本用户权限为:[join:list, systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-19 00:20:25.198 INFO  --- [UserRealm.java:37][http-nio-8080-exec-4] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["join:list","systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-19 00:20:25.198 INFO  --- [UserRealm.java:38][http-nio-8080-exec-4] - 本用户权限为:[join:list, systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-19 00:20:26.372 INFO  --- [UserRealm.java:37][http-nio-8080-exec-1] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["join:list","systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-19 00:20:26.373 INFO  --- [UserRealm.java:38][http-nio-8080-exec-1] - 本用户权限为:[join:list, systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-19 00:20:27.171 INFO  --- [UserRealm.java:37][http-nio-8080-exec-2] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["join:list","systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-19 00:20:27.171 INFO  --- [UserRealm.java:38][http-nio-8080-exec-2] - 本用户权限为:[join:list, systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-19 00:21:38.714 INFO  --- [UserRealm.java:37][http-nio-8080-exec-7] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["join:list","systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-19 00:21:38.715 INFO  --- [UserRealm.java:38][http-nio-8080-exec-7] - 本用户权限为:[join:list, systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
